schema_version,evidence_type,scheduler,workload,seed,job_id,home_cluster,dispatch_cluster,stolen,arrival_cycle,dispatch_cycle,release_cycle,dependency_wait_cycles,queue_wait_cycles,link_start_cycle,home_link_end_cycle,remote_copy_start_cycle,link_end_cycle,home_link_bundle,execution_link_bundle,base_link_bytes,remote_copy_bytes,memory_start_cycle,memory_end_cycle,compute_start_cycle,compute_end_cycle,preferred_channel,preferred_link_bundle
varp.k26.scheduler-event.v2,analytical-model,S1,skew,23,28,0,0,0,28,10907,28,0,10879,10907,11421,11421,11421,0,0,8224,0,10907,11419,11421,11549,0,0
varp.k26.scheduler-event.v2,analytical-model,S1,skew,23,297,2,2,0,297,10939,297,0,10642,10939,11197,11197,11197,2,2,4128,0,10939,11195,11197,11261,1,2
varp.k26.scheduler-event.v2,analytical-model,S1,skew,23,290,1,1,0,290,11227,290,0,10937,11227,11357,11357,11357,1,1,2080,0,11419,11547,11547,11579,2,1
varp.k26.scheduler-event.v2,analytical-model,S1,skew,23,301,2,2,0,301,11261,301,0,10960,11261,11519,11519,11519,2,2,4128,0,11261,11517,11519,11583,1,2
varp.k26.scheduler-event.v2,analytical-model,S1,skew,23,286,3,3,0,286,11483,286,0,11197,11483,11997,11997,11997,3,3,8224,0,11547,12059,12059,12187,2,3
varp.k26.scheduler-event.v2,analytical-model,S1,skew,23,29,0,0,0,29,11549,29,0,11520,11549,11679,11679,11679,0,0,2080,0,11549,11677,11679,11711,1,0
varp.k26.scheduler-event.v2,analytical-model,S1,skew,23,326,1,1,0,326,11579,326,0,11253,11579,11645,11645,11645,1,1,1056,0,12059,12123,12123,12139,2,1
varp.k26.scheduler-event.v2,analytical-model,S1,skew,23,311,2,2,0,311,11583,311,0,11272,11583,12609,12609,12609,2,2,16416,0,11583,12607,12609,12865,3,2
varp.k26.scheduler-event.v2,analytical-model,S1,skew,23,30,0,0,0,30,11711,30,0,11681,11711,12225,12225,12225,0,0,8224,0,12123,12635,12635,12763,2,0
varp.k26.scheduler-event.v2,analytical-model,S1,skew,23,332,1,1,0,332,12139,332,0,11807,12139,12173,12173,12173,1,1,544,0,12139,12171,12173,12181,0,1
