schema_version,evidence_type,scheduler,workload,seed,job_id,home_cluster,dispatch_cluster,stolen,arrival_cycle,dispatch_cycle,release_cycle,dependency_wait_cycles,queue_wait_cycles,link_start_cycle,home_link_end_cycle,remote_copy_start_cycle,link_end_cycle,home_link_bundle,execution_link_bundle,base_link_bytes,remote_copy_bytes,memory_start_cycle,memory_end_cycle,compute_start_cycle,compute_end_cycle,preferred_channel,preferred_link_bundle
varp.k26.scheduler-event.v2,analytical-model,S1,gemma3_1b_dependency_aware_tiles,0,48,0,0,0,0,3534394,3442231,3442231,92163,3534394,3608124,3608124,3608124,2,2,1179680,0,3534394,3608122,3608124,3626556,2,2
varp.k26.scheduler-event.v2,analytical-model,S1,gemma3_1b_dependency_aware_tiles,0,55,1,1,0,0,3534394,3442231,3442231,92163,3534394,3608124,3608124,3608124,0,0,1179680,0,3534394,3608122,3608124,3626556,1,0
varp.k26.scheduler-event.v2,analytical-model,S1,gemma3_1b_dependency_aware_tiles,0,49,0,0,0,0,3626556,3442231,3442231,184325,3626556,3700286,3700286,3700286,2,2,1179680,0,3626556,3700284,3700286,3718718,2,2
varp.k26.scheduler-event.v2,analytical-model,S1,gemma3_1b_dependency_aware_tiles,0,56,1,1,0,0,3626556,3442231,3442231,184325,3626556,3700286,3700286,3700286,0,0,1179680,0,3626556,3700284,3700286,3718718,1,0
varp.k26.scheduler-event.v2,analytical-model,S1,gemma3_1b_dependency_aware_tiles,0,50,0,0,0,0,3718718,3442231,3442231,276487,3718718,3792448,3792448,3792448,2,2,1179680,0,3718718,3792446,3792448,3810880,2,2
varp.k26.scheduler-event.v2,analytical-model,S1,gemma3_1b_dependency_aware_tiles,0,57,1,1,0,0,3718718,3442231,3442231,276487,3718718,3792448,3792448,3792448,0,0,1179680,0,3718718,3792446,3792448,3810880,1,0
varp.k26.scheduler-event.v2,analytical-model,S1,gemma3_1b_dependency_aware_tiles,0,51,0,0,0,0,3810880,3442231,3442231,368649,3810880,3884610,3884610,3884610,2,2,1179680,0,3810880,3884608,3884610,3903042,2,2
varp.k26.scheduler-event.v2,analytical-model,S1,gemma3_1b_dependency_aware_tiles,0,58,1,1,0,0,3810880,3442231,3442231,368649,3810880,3884610,3884610,3884610,0,0,1179680,0,3810880,3884608,3884610,3903042,1,0
varp.k26.scheduler-event.v2,analytical-model,S1,gemma3_1b_dependency_aware_tiles,0,52,0,0,0,0,3903042,3442231,3442231,460811,3903042,3976772,3976772,3976772,2,2,1179680,0,3903042,3976770,3976772,3995204,2,2
varp.k26.scheduler-event.v2,analytical-model,S1,gemma3_1b_dependency_aware_tiles,0,59,1,1,0,0,3903042,3442231,3442231,460811,3903042,3976772,3976772,3976772,0,0,1179680,0,3903042,3976770,3976772,3995204,1,0
varp.k26.scheduler-event.v2,analytical-model,S1,gemma3_1b_dependency_aware_tiles,0,53,0,0,0,0,3995204,3442231,3442231,552973,3995204,4050502,4050502,4050502,2,2,884768,0,3995204,4050500,4050502,4064326,2,2
varp.k26.scheduler-event.v2,analytical-model,S1,gemma3_1b_dependency_aware_tiles,0,60,1,1,0,0,3995204,3442231,3442231,552973,3995204,4050502,4050502,4050502,0,0,884768,0,3995204,4050500,4050502,4064326,1,0
varp.k26.scheduler-event.v2,analytical-model,S1,gemma3_1b_dependency_aware_tiles,0,61,2,2,0,0,4064327,4064326,4064326,1,4064327,4506697,4506697,4506697,2,2,7077920,0,4064327,4506695,4506697,4617289,0,2
varp.k26.scheduler-event.v2,analytical-model,S1,gemma3_1b_dependency_aware_tiles,0,62,2,2,0,0,4617289,4064326,4064326,552963,4617289,4672587,4672587,4672587,2,2,884768,0,4617289,4672585,4672587,4686411,0,2
varp.k26.scheduler-event.v2,analytical-model,S1,gemma3_1b_dependency_aware_tiles,0,63,0,0,0,0,4686412,4686411,4686411,1,4686412,4760142,4760142,4760142,1,1,1179680,0,4686412,4760140,4760142,4778574,0,1
varp.k26.scheduler-event.v2,analytical-model,S1,gemma3_1b_dependency_aware_tiles,0,64,1,1,0,0,4686412,4686411,4686411,1,4686412,4704846,4704846,4704846,3,3,294944,0,4686412,4704844,4704846,4709454,1,3
varp.k26.scheduler-event.v2,analytical-model,S1,gemma3_1b_dependency_aware_tiles,0,65,2,2,0,0,4686412,4686411,4686411,1,4760142,4778576,4778576,4778576,1,1,294944,0,4686412,4704844,4778576,4783184,3,1
varp.k26.scheduler-event.v2,analytical-model,S1,gemma3_1b_dependency_aware_tiles,0,66,3,3,0,0,4783185,4783184,4783184,1,4783185,4848723,4848723,4848723,3,3,1048608,0,4783185,4848721,4848723,4865107,1,3
varp.k26.scheduler-event.v2,analytical-model,S1,gemma3_1b_dependency_aware_tiles,0,67,3,3,0,0,4865107,4783184,4783184,81923,4865107,4873301,4873301,4873301,3,3,131104,0,4865107,4873299,4873301,4875349,1,3
varp.k26.scheduler-event.v2,analytical-model,S1,gemma3_1b_dependency_aware_tiles,0,68,0,0,0,0,4875350,4875349,4875349,1,4875350,4949080,4949080,4949080,1,1,1179680,0,4875350,4949078,4949080,4967512,3,1
varp.k26.scheduler-event.v2,analytical-model,S1,gemma3_1b_dependency_aware_tiles,0,75,1,1,0,0,4875350,4875349,4875349,1,4875350,4949080,4949080,4949080,3,3,1179680,0,4875350,4949078,4949080,4967512,2,3
varp.k26.scheduler-event.v2,analytical-model,S1,gemma3_1b_dependency_aware_tiles,0,69,0,0,0,0,4967512,4875349,4875349,92163,4967512,5041242,5041242,5041242,1,1,1179680,0,4967512,5041240,5041242,5059674,3,1
varp.k26.scheduler-event.v2,analytical-model,S1,gemma3_1b_dependency_aware_tiles,0,76,1,1,0,0,4967512,4875349,4875349,92163,4967512,5041242,5041242,5041242,3,3,1179680,0,4967512,5041240,5041242,5059674,2,3
varp.k26.scheduler-event.v2,analytical-model,S1,gemma3_1b_dependency_aware_tiles,0,70,0,0,0,0,5059674,4875349,4875349,184325,5059674,5133404,5133404,5133404,1,1,1179680,0,5059674,5133402,5133404,5151836,3,1
varp.k26.scheduler-event.v2,analytical-model,S1,gemma3_1b_dependency_aware_tiles,0,77,1,1,0,0,5059674,4875349,4875349,184325,5059674,5133404,5133404,5133404,3,3,1179680,0,5059674,5133402,5133404,5151836,2,3
varp.k26.scheduler-event.v2,analytical-model,S1,gemma3_1b_dependency_aware_tiles,0,71,0,0,0,0,5151836,4875349,4875349,276487,5151836,5225566,5225566,5225566,1,1,1179680,0,5151836,5225564,5225566,5243998,3,1
varp.k26.scheduler-event.v2,analytical-model,S1,gemma3_1b_dependency_aware_tiles,0,78,1,1,0,0,5151836,4875349,4875349,276487,5151836,5225566,5225566,5225566,3,3,1179680,0,5151836,5225564,5225566,5243998,2,3
varp.k26.scheduler-event.v2,analytical-model,S1,gemma3_1b_dependency_aware_tiles,0,72,0,0,0,0,5243998,4875349,4875349,368649,5243998,5317728,5317728,5317728,1,1,1179680,0,5243998,5317726,5317728,5336160,3,1
varp.k26.scheduler-event.v2,analytical-model,S1,gemma3_1b_dependency_aware_tiles,0,79,1,1,0,0,5243998,4875349,4875349,368649,5243998,5317728,5317728,5317728,3,3,1179680,0,5243998,5317726,5317728,5336160,2,3
varp.k26.scheduler-event.v2,analytical-model,S1,gemma3_1b_dependency_aware_tiles,0,73,0,0,0,0,5336160,4875349,4875349,460811,5336160,5409890,5409890,5409890,1,1,1179680,0,5336160,5409888,5409890,5428322,3,1
varp.k26.scheduler-event.v2,analytical-model,S1,gemma3_1b_dependency_aware_tiles,0,80,1,1,0,0,5336160,4875349,4875349,460811,5336160,5409890,5409890,5409890,3,3,1179680,0,5336160,5409888,5409890,5428322,2,3
varp.k26.scheduler-event.v2,analytical-model,S1,gemma3_1b_dependency_aware_tiles,0,74,0,0,0,0,5428322,4875349,4875349,552973,5428322,5483620,5483620,5483620,1,1,884768,0,5428322,5483618,5483620,5497444,3,1
varp.k26.scheduler-event.v2,analytical-model,S1,gemma3_1b_dependency_aware_tiles,0,81,1,1,0,0,5428322,4875349,4875349,552973,5428322,5483620,5483620,5483620,3,3,884768,0,5428322,5483618,5483620,5497444,2,3
varp.k26.scheduler-event.v2,analytical-model,S1,gemma3_1b_dependency_aware_tiles,0,82,2,2,0,0,5497445,5497444,5497444,1,5497445,5939815,5939815,5939815,1,1,7077920,0,5497445,5939813,5939815,6050407,2,1
varp.k26.scheduler-event.v2,analytical-model,S1,gemma3_1b_dependency_aware_tiles,0,83,2,2,0,0,6050407,5497444,5497444,552963,6050407,6105705,6105705,6105705,1,1,884768,0,6050407,6105703,6105705,6119529,2,1
varp.k26.scheduler-event.v2,analytical-model,S1,gemma3_1b_dependency_aware_tiles,0,84,0,0,0,0,6119530,6119529,6119529,1,6119530,6193260,6193260,6193260,0,0,1179680,0,6119530,6193258,6193260,6211692,1,0
varp.k26.scheduler-event.v2,analytical-model,S1,gemma3_1b_dependency_aware_tiles,0,85,1,1,0,0,6119530,6119529,6119529,1,6119530,6137964,6137964,6137964,2,2,294944,0,6119530,6137962,6137964,6142572,3,2
varp.k26.scheduler-event.v2,analytical-model,S1,gemma3_1b_dependency_aware_tiles,0,86,2,2,0,0,6119530,6119529,6119529,1,6193260,6211694,6211694,6211694,0,0,294944,0,6193258,6211690,6211694,6216302,1,0
varp.k26.scheduler-event.v2,analytical-model,S1,gemma3_1b_dependency_aware_tiles,0,87,3,3,0,0,6216303,6216302,6216302,1,6216303,6281841,6281841,6281841,2,2,1048608,0,6216303,6281839,6281841,6298225,3,2
varp.k26.scheduler-event.v2,analytical-model,S1,gemma3_1b_dependency_aware_tiles,0,88,3,3,0,0,6298225,6216302,6216302,81923,6298225,6306419,6306419,6306419,2,2,131104,0,6298225,6306417,6306419,6308467,3,2
varp.k26.scheduler-event.v2,analytical-model,S1,gemma3_1b_dependency_aware_tiles,0,89,0,0,0,0,6308468,6308467,6308467,1,6308468,6382198,6382198,6382198,0,0,1179680,0,6308468,6382196,6382198,6400630,0,0
varp.k26.scheduler-event.v2,analytical-model,S1,gemma3_1b_dependency_aware_tiles,0,96,1,1,0,0,6308468,6308467,6308467,1,6308468,6382198,6382198,6382198,2,2,1179680,0,6382196,6455924,6455924,6474356,0,2
varp.k26.scheduler-event.v2,analytical-model,S1,gemma3_1b_dependency_aware_tiles,0,90,0,0,0,0,6400630,6308467,6308467,92163,6400630,6474360,6474360,6474360,0,0,1179680,0,6455924,6529652,6529652,6548084,0,0
varp.k26.scheduler-event.v2,analytical-model,S1,gemma3_1b_dependency_aware_tiles,0,97,1,1,0,0,6474356,6308467,6308467,165889,6474356,6548086,6548086,6548086,2,2,1179680,0,6529652,6603380,6603380,6621812,0,2
varp.k26.scheduler-event.v2,analytical-model,S1,gemma3_1b_dependency_aware_tiles,0,91,0,0,0,0,6548084,6308467,6308467,239617,6548084,6621814,6621814,6621814,0,0,1179680,0,6603380,6677108,6677108,6695540,0,0
varp.k26.scheduler-event.v2,analytical-model,S1,gemma3_1b_dependency_aware_tiles,0,98,1,1,0,0,6621812,6308467,6308467,313345,6621812,6695542,6695542,6695542,2,2,1179680,0,6677108,6750836,6750836,6769268,0,2
varp.k26.scheduler-event.v2,analytical-model,S1,gemma3_1b_dependency_aware_tiles,0,92,0,0,0,0,6695540,6308467,6308467,387073,6695540,6769270,6769270,6769270,0,0,1179680,0,6750836,6824564,6824564,6842996,0,0
varp.k26.scheduler-event.v2,analytical-model,S1,gemma3_1b_dependency_aware_tiles,0,99,1,1,0,0,6769268,6308467,6308467,460801,6769268,6842998,6842998,6842998,2,2,1179680,0,6824564,6898292,6898292,6916724,0,2
varp.k26.scheduler-event.v2,analytical-model,S1,gemma3_1b_dependency_aware_tiles,0,93,0,0,0,0,6842996,6308467,6308467,534529,6842996,6916726,6916726,6916726,0,0,1179680,0,6898292,6972020,6972020,6990452,0,0
varp.k26.scheduler-event.v2,analytical-model,S1,gemma3_1b_dependency_aware_tiles,0,100,1,1,0,0,6916724,6308467,6308467,608257,6916724,6990454,6990454,6990454,2,2,1179680,0,6972020,7045748,7045748,7064180,0,2
