node_index,node_name,domain,op_type,layer,operator_category,projection_class,K,N,dtype,weight_initializer,source_weight_bytes,activation_bytes,output_bytes,reuse,external_data_file,external_data_offset,estimated_memory_address,candidate_cluster,candidate_channel,candidate_bundle,evidence_type
169,/model/rotary_emb_local/Constant_6,,Constant,,other,,,,,,,,,,,,,,,,graph-derived
170,/model/rotary_emb_local/Mul_2,,Mul,,other,,,,,,,,,,,,,,,,graph-derived
171,/model/rotary_emb_local/Cast_2,,Cast,,other,,,,,,,,,,,,,,,,graph-derived
172,/model/rotary_emb_local/Cast_3,,Cast,,other,,,,,,,,,,,,,,,,graph-derived
173,/model/layers.0/input_layernorm/Cast,,Cast,0,other,,,,,,,,,,,,,,,,graph-derived
174,/model/layers.0/input_layernorm/Constant,,Constant,0,other,,,,,,,,,,,,,,,,graph-derived
175,/model/layers.0/input_layernorm/Pow,,Pow,0,other,,,,,,,,,,,,,,,,graph-derived
176,/model/layers.0/input_layernorm/ReduceMean,,ReduceMean,0,other,,,,,,,,,,,,,,,,graph-derived
177,/model/layers.0/input_layernorm/Constant_1,,Constant,0,other,,,,,,,,,,,,,,,,graph-derived
178,/model/layers.0/input_layernorm/Add,,Add,0,other,,,,,,,,,,,,,,,,graph-derived
179,/model/layers.0/input_layernorm/Sqrt,,Sqrt,0,other,,,,,,,,,,,,,,,,graph-derived
180,/model/layers.0/input_layernorm/Constant_2,,Constant,0,other,,,,,,,,,,,,,,,,graph-derived
181,/model/layers.0/input_layernorm/Div,,Div,0,other,,,,,,,,,,,,,,,,graph-derived
182,/model/layers.0/input_layernorm/Mul,,Mul,0,other,,,,,,,,,,,,,,,,graph-derived
183,/model/layers.0/input_layernorm/Mul_1,,Mul,0,other,,,,,,,,,,,,,,,,graph-derived
184,/model/layers.0/self_attn/Shape,,Shape,0,attention_non_projection,,,,,,,,,,,,,,,,graph-derived
185,/model/layers.0/self_attn/Constant,,Constant,0,attention_non_projection,,,,,,,,,,,,,,,,graph-derived
186,/model/layers.0/self_attn/Gather,,Gather,0,attention_non_projection,,,,,,,,,,,,,,,,graph-derived
187,/model/layers.0/self_attn/Shape_1,,Shape,0,attention_non_projection,,,,,,,,,,,,,,,,graph-derived
188,/model/layers.0/self_attn/Constant_1,,Constant,0,attention_non_projection,,,,,,,,,,,,,,,,graph-derived
189,/model/layers.0/self_attn/Gather_1,,Gather,0,attention_non_projection,,,,,,,,,,,,,,,,graph-derived
190,/model/layers.0/self_attn/q_proj/MatMul,,MatMul,0,attention_projection,q_proj,1152,1024,float,onnx::MatMul_9586,4718592,4608,4096,once_per_decode_token,model.onnx_data,1207964160,1207964160,0,0,0,graph-derived
191,Constant_2929,,Constant,,other,,,,,,,,,,,,,,,,graph-derived
